clean_node,original_node,ontology_id,ontology_name,umls_id,label,match_score,semantic_type,source,uri,alternative_matches
90 beats per minute,90 beats per minute,C2712143,SNOMEDCT_US,C2712143,Normal heart rate,1.0,Medical Concept,umls_api,https://www.nlm.nih.gov/research/umls/knowledge_sources/metathesaurus/C2712143,"[{""ontology_id"": ""C4718725"", ""ontology"": ""NOC"", ""score"": 0.8}, {""ontology_id"": ""C0566873"", ""ontology"": ""SNOMEDCT_US"", ""score"": 0.6}, {""ontology_id"": ""C0457250"", ""ontology"": ""SNOMEDCT_US"", ""score"": 0.6}]"
AED,AED,C0025080,MTH,C0025080,Medical Devices,0.8,Medical Concept,umls_api,https://www.nlm.nih.gov/research/umls/knowledge_sources/metathesaurus/C0025080,"[{""ontology_id"": ""C1321564"", ""ontology"": ""MTH"", ""score"": 0.8}, {""ontology_id"": ""C0181856"", ""ontology"": ""MTH"", ""score"": 0.8}, {""ontology_id"": ""C0700351"", ""ontology"": ""MTH"", ""score"": 0.8}]"
ALS,ALS,C0456043,SNOMEDCT_US,C0456043,Perinatal neurological disorder,0.8,Disease or Syndrome,umls_api,https://www.nlm.nih.gov/research/umls/knowledge_sources/metathesaurus/C0456043,"[{""ontology_id"": ""C0204752"", ""ontology"": ""SNOMEDCT_US"", ""score"": 0.8}, {""ontology_id"": ""C1319813"", ""ontology"": ""SNOMEDCT_US"", ""score"": 0.8}, {""ontology_id"": ""C0851567"", ""ontology"": ""MDR"", ""score"": 0.8}]"
ALT,ALT,C4521602,MTH,C4521602,Enzyme (disposition),0.8,Medical Concept,umls_api,https://www.nlm.nih.gov/research/umls/knowledge_sources/metathesaurus/C4521602,"[{""ontology_id"": ""C5399708"", ""ontology"": ""MTH"", ""score"": 0.8}, {""ontology_id"": ""C0014442"", ""ontology"": ""MTH"", ""score"": 0.8}, {""ontology_id"": ""C0014432"", ""ontology"": ""MTH"", ""score"": 0.8}]"
AML,AML,C4280478,HPO,C4280478,Chronic blood cancer,0.8,Sign or Symptom,umls_api,https://www.nlm.nih.gov/research/umls/knowledge_sources/metathesaurus/C4280478,"[{""ontology_id"": ""C4280572"", ""ontology"": ""HPO"", ""score"": 0.8}, {""ontology_id"": ""C5235909"", ""ontology"": ""NCI"", ""score"": 0.8}, {""ontology_id"": ""C5235910"", ""ontology"": ""MTH"", ""score"": 0.8}]"
ANXIETY,ANXIETY,C0684322,MTH,C0684322,Emotional state observations,0.8,Medical Concept,umls_api,https://www.nlm.nih.gov/research/umls/knowledge_sources/metathesaurus/C0684322,"[{""ontology_id"": ""C0935620"", ""ontology"": ""MTH"", ""score"": 0.8}, {""ontology_id"": ""C4020949"", ""ontology"": ""HPO"", ""score"": 0.8}, {""ontology_id"": ""C0233452"", ""ontology"": ""SNOMEDCT_US"", ""score"": 0.8}]"
AST,AST,C4521602,MTH,C4521602,Enzyme (disposition),0.8,Medical Concept,umls_api,https://www.nlm.nih.gov/research/umls/knowledge_sources/metathesaurus/C4521602,"[{""ontology_id"": ""C5399708"", ""ontology"": ""MTH"", ""score"": 0.8}, {""ontology_id"": ""C0014442"", ""ontology"": ""MTH"", ""score"": 0.8}, {""ontology_id"": ""C0014432"", ""ontology"": ""MTH"", ""score"": 0.8}]"
Abdominal pain,Abdominal pain,C0426576,SNOMEDCT_US,C0426576,Gastrointestinal symptom,1.0,Sign or Symptom,umls_api,https://www.nlm.nih.gov/research/umls/knowledge_sources/metathesaurus/C0426576,"[{""ontology_id"": ""C0426575"", ""ontology"": ""SNOMEDCT_US"", ""score"": 0.8}, {""ontology_id"": ""C0421219"", ""ontology"": ""SNOMEDCT_US"", ""score"": 0.6}, {""ontology_id"": ""C4087323"", ""ontology"": ""MDR"", ""score"": 0.6}]"
Actinic keratoses,Actinic keratoses,C0037284,SNOMEDCT_US,C0037284,Skin lesion,1.0,Medical Concept,umls_api,https://www.nlm.nih.gov/research/umls/knowledge_sources/metathesaurus/C0037284,"[{""ontology_id"": ""C0748812"", ""ontology"": ""CCPSS"", ""score"": 0.8}, {""ontology_id"": ""C0748820"", ""ontology"": ""CCPSS"", ""score"": 0.8}, {""ontology_id"": ""C0262595"", ""ontology"": ""SNOMEDCT_US"", ""score"": 0.8}]"
Addison's disease,Addison's disease,C0349368,SNOMEDCT_US,C0349368,Hypertension secondary to endocrine disorder,0.8,Disease or Syndrome,umls_api,https://www.nlm.nih.gov/research/umls/knowledge_sources/metathesaurus/C0349368,"[{""ontology_id"": ""C1285294"", ""ontology"": ""SNOMEDCT_US"", ""score"": 0.8}, {""ontology_id"": ""C1305220"", ""ontology"": ""SNOMEDCT_US"", ""score"": 0.8}, {""ontology_id"": ""C4727956"", ""ontology"": ""MDR"", ""score"": 0.8}]"
Adults younger than 30,Adults younger than 30,C5958835,NCI,C5958835,OMOP Concept Identifier,0.6,Medical Concept,umls_api,https://www.nlm.nih.gov/research/umls/knowledge_sources/metathesaurus/C5958835,"[{""ontology_id"": ""C3879350"", ""ontology"": ""SNOMEDCT_US"", ""score"": 0.6}, {""ontology_id"": ""C1275069"", ""ontology"": ""SNOMEDCT_US"", ""score"": 0.6}, {""ontology_id"": ""C0261513"", ""ontology"": ""SNOMEDCT_US"", ""score"": 0.6}]"
Albumin,Albumin,C5958835,NCI,C5958835,OMOP Concept Identifier,0.6,Medical Concept,umls_api,https://www.nlm.nih.gov/research/umls/knowledge_sources/metathesaurus/C5958835,"[{""ontology_id"": ""C3879350"", ""ontology"": ""SNOMEDCT_US"", ""score"": 0.6}, {""ontology_id"": ""C1275069"", ""ontology"": ""SNOMEDCT_US"", ""score"": 0.6}, {""ontology_id"": ""C0261513"", ""ontology"": ""SNOMEDCT_US"", ""score"": 0.6}]"
Alcohol,Alcohol,C5958835,NCI,C5958835,OMOP Concept Identifier,0.6,Medical Concept,umls_api,https://www.nlm.nih.gov/research/umls/knowledge_sources/metathesaurus/C5958835,"[{""ontology_id"": ""C3879350"", ""ontology"": ""SNOMEDCT_US"", ""score"": 0.6}, {""ontology_id"": ""C1275069"", ""ontology"": ""SNOMEDCT_US"", ""score"": 0.6}, {""ontology_id"": ""C0261513"", ""ontology"": ""SNOMEDCT_US"", ""score"": 0.6}]"
Aldosteronism,[Event: Aldosteronism],C5958835,NCI,C5958835,OMOP Concept Identifier,0.6,Medical Concept,umls_api,https://www.nlm.nih.gov/research/umls/knowledge_sources/metathesaurus/C5958835,"[{""ontology_id"": ""C3879350"", ""ontology"": ""SNOMEDCT_US"", ""score"": 0.6}, {""ontology_id"": ""C1275069"", ""ontology"": ""SNOMEDCT_US"", ""score"": 0.6}, {""ontology_id"": ""C0261513"", ""ontology"": ""SNOMEDCT_US"", ""score"": 0.6}]"
Alzheimer's disease,Alzheimer's disease,C5958835,NCI,C5958835,OMOP Concept Identifier,0.6,Medical Concept,umls_api,https://www.nlm.nih.gov/research/umls/knowledge_sources/metathesaurus/C5958835,"[{""ontology_id"": ""C3879350"", ""ontology"": ""SNOMEDCT_US"", ""score"": 0.6}, {""ontology_id"": ""C1275069"", ""ontology"": ""SNOMEDCT_US"", ""score"": 0.6}, {""ontology_id"": ""C0261513"", ""ontology"": ""SNOMEDCT_US"", ""score"": 0.6}]"
Angiography,Angiography,C5958835,NCI,C5958835,OMOP Concept Identifier,0.6,Medical Concept,umls_api,https://www.nlm.nih.gov/research/umls/knowledge_sources/metathesaurus/C5958835,"[{""ontology_id"": ""C3879350"", ""ontology"": ""SNOMEDCT_US"", ""score"": 0.6}, {""ontology_id"": ""C1275069"", ""ontology"": ""SNOMEDCT_US"", ""score"": 0.6}, {""ontology_id"": ""C0261513"", ""ontology"": ""SNOMEDCT_US"", ""score"": 0.6}]"
Antifreeze,Antifreeze,C5958835,NCI,C5958835,OMOP Concept Identifier,0.6,Medical Concept,umls_api,https://www.nlm.nih.gov/research/umls/knowledge_sources/metathesaurus/C5958835,"[{""ontology_id"": ""C3879350"", ""ontology"": ""SNOMEDCT_US"", ""score"": 0.6}, {""ontology_id"": ""C1275069"", ""ontology"": ""SNOMEDCT_US"", ""score"": 0.6}, {""ontology_id"": ""C0261513"", ""ontology"": ""SNOMEDCT_US"", ""score"": 0.6}]"
Antiphospholipid antibody syndrome,Antiphospholipid antibody syndrome,C5958835,NCI,C5958835,OMOP Concept Identifier,0.6,Medical Concept,umls_api,https://www.nlm.nih.gov/research/umls/knowledge_sources/metathesaurus/C5958835,"[{""ontology_id"": ""C3879350"", ""ontology"": ""SNOMEDCT_US"", ""score"": 0.6}, {""ontology_id"": ""C1275069"", ""ontology"": ""SNOMEDCT_US"", ""score"": 0.6}, {""ontology_id"": ""C0261513"", ""ontology"": ""SNOMEDCT_US"", ""score"": 0.6}]"
Antiviral drugs,Antiviral drugs,C5958835,NCI,C5958835,OMOP Concept Identifier,0.6,Medical Concept,umls_api,https://www.nlm.nih.gov/research/umls/knowledge_sources/metathesaurus/C5958835,"[{""ontology_id"": ""C3879350"", ""ontology"": ""SNOMEDCT_US"", ""score"": 0.6}, {""ontology_id"": ""C1275069"", ""ontology"": ""SNOMEDCT_US"", ""score"": 0.6}, {""ontology_id"": ""C0261513"", ""ontology"": ""SNOMEDCT_US"", ""score"": 0.6}]"
Appendicitis,Appendicitis,C5958835,NCI,C5958835,OMOP Concept Identifier,0.6,Medical Concept,umls_api,https://www.nlm.nih.gov/research/umls/knowledge_sources/metathesaurus/C5958835,"[{""ontology_id"": ""C3879350"", ""ontology"": ""SNOMEDCT_US"", ""score"": 0.6}, {""ontology_id"": ""C1275069"", ""ontology"": ""SNOMEDCT_US"", ""score"": 0.6}, {""ontology_id"": ""C0261513"", ""ontology"": ""SNOMEDCT_US"", ""score"": 0.6}]"
Autism,Autism,C5958835,NCI,C5958835,OMOP Concept Identifier,0.6,Medical Concept,umls_api,https://www.nlm.nih.gov/research/umls/knowledge_sources/metathesaurus/C5958835,"[{""ontology_id"": ""C3879350"", ""ontology"": ""SNOMEDCT_US"", ""score"": 0.6}, {""ontology_id"": ""C1275069"", ""ontology"": ""SNOMEDCT_US"", ""score"": 0.6}, {""ontology_id"": ""C0261513"", ""ontology"": ""SNOMEDCT_US"", ""score"": 0.6}]"
BRCA1,BRCA1,C5958835,NCI,C5958835,OMOP Concept Identifier,0.6,Medical Concept,umls_api,https://www.nlm.nih.gov/research/umls/knowledge_sources/metathesaurus/C5958835,"[{""ontology_id"": ""C3879350"", ""ontology"": ""SNOMEDCT_US"", ""score"": 0.6}, {""ontology_id"": ""C1275069"", ""ontology"": ""SNOMEDCT_US"", ""score"": 0.6}, {""ontology_id"": ""C0261513"", ""ontology"": ""SNOMEDCT_US"", ""score"": 0.6}]"
BRCA2,BRCA2,C5958835,NCI,C5958835,OMOP Concept Identifier,0.6,Medical Concept,umls_api,https://www.nlm.nih.gov/research/umls/knowledge_sources/metathesaurus/C5958835,"[{""ontology_id"": ""C3879350"", ""ontology"": ""SNOMEDCT_US"", ""score"": 0.6}, {""ontology_id"": ""C1275069"", ""ontology"": ""SNOMEDCT_US"", ""score"": 0.6}, {""ontology_id"": ""C0261513"", ""ontology"": ""SNOMEDCT_US"", ""score"": 0.6}]"
Bacteria,Bacteria,C5958835,NCI,C5958835,OMOP Concept Identifier,0.6,Medical Concept,umls_api,https://www.nlm.nih.gov/research/umls/knowledge_sources/metathesaurus/C5958835,"[{""ontology_id"": ""C3879350"", ""ontology"": ""SNOMEDCT_US"", ""score"": 0.6}, {""ontology_id"": ""C1275069"", ""ontology"": ""SNOMEDCT_US"", ""score"": 0.6}, {""ontology_id"": ""C0261513"", ""ontology"": ""SNOMEDCT_US"", ""score"": 0.6}]"
Bad breath,Bad breath,C5958835,NCI,C5958835,OMOP Concept Identifier,0.6,Medical Concept,umls_api,https://www.nlm.nih.gov/research/umls/knowledge_sources/metathesaurus/C5958835,"[{""ontology_id"": ""C3879350"", ""ontology"": ""SNOMEDCT_US"", ""score"": 0.6}, {""ontology_id"": ""C1275069"", ""ontology"": ""SNOMEDCT_US"", ""score"": 0.6}, {""ontology_id"": ""C0261513"", ""ontology"": ""SNOMEDCT_US"", ""score"": 0.6}]"
Basal cell carcinoma,Basal cell carcinoma,C5958835,NCI,C5958835,OMOP Concept Identifier,0.6,Medical Concept,umls_api,https://www.nlm.nih.gov/research/umls/knowledge_sources/metathesaurus/C5958835,"[{""ontology_id"": ""C3879350"", ""ontology"": ""SNOMEDCT_US"", ""score"": 0.6}, {""ontology_id"": ""C1275069"", ""ontology"": ""SNOMEDCT_US"", ""score"": 0.6}, {""ontology_id"": ""C0261513"", ""ontology"": ""SNOMEDCT_US"", ""score"": 0.6}]"
Bell's palsy,Bell's palsy,C5958835,NCI,C5958835,OMOP Concept Identifier,0.6,Medical Concept,umls_api,https://www.nlm.nih.gov/research/umls/knowledge_sources/metathesaurus/C5958835,"[{""ontology_id"": ""C3879350"", ""ontology"": ""SNOMEDCT_US"", ""score"": 0.6}, {""ontology_id"": ""C1275069"", ""ontology"": ""SNOMEDCT_US"", ""score"": 0.6}, {""ontology_id"": ""C0261513"", ""ontology"": ""SNOMEDCT_US"", ""score"": 0.6}]"
Benign moles,Benign moles,C5958835,NCI,C5958835,OMOP Concept Identifier,0.6,Medical Concept,umls_api,https://www.nlm.nih.gov/research/umls/knowledge_sources/metathesaurus/C5958835,"[{""ontology_id"": ""C3879350"", ""ontology"": ""SNOMEDCT_US"", ""score"": 0.6}, {""ontology_id"": ""C1275069"", ""ontology"": ""SNOMEDCT_US"", ""score"": 0.6}, {""ontology_id"": ""C0261513"", ""ontology"": ""SNOMEDCT_US"", ""score"": 0.6}]"
Binge Eating Disorder,[Event: Binge Eating Disorder],C5958835,NCI,C5958835,OMOP Concept Identifier,0.6,Medical Concept,umls_api,https://www.nlm.nih.gov/research/umls/knowledge_sources/metathesaurus/C5958835,"[{""ontology_id"": ""C3879350"", ""ontology"": ""SNOMEDCT_US"", ""score"": 0.6}, {""ontology_id"": ""C1275069"", ""ontology"": ""SNOMEDCT_US"", ""score"": 0.6}, {""ontology_id"": ""C0261513"", ""ontology"": ""SNOMEDCT_US"", ""score"": 0.6}]"
Birth-2 months,Birth-2 months,C5958835,NCI,C5958835,OMOP Concept Identifier,0.6,Medical Concept,umls_api,https://www.nlm.nih.gov/research/umls/knowledge_sources/metathesaurus/C5958835,"[{""ontology_id"": ""C3879350"", ""ontology"": ""SNOMEDCT_US"", ""score"": 0.6}, {""ontology_id"": ""C1275069"", ""ontology"": ""SNOMEDCT_US"", ""score"": 0.6}, {""ontology_id"": ""C0261513"", ""ontology"": ""SNOMEDCT_US"", ""score"": 0.6}]"
Bites,Bites,C5958835,NCI,C5958835,OMOP Concept Identifier,0.6,Medical Concept,umls_api,https://www.nlm.nih.gov/research/umls/knowledge_sources/metathesaurus/C5958835,"[{""ontology_id"": ""C3879350"", ""ontology"": ""SNOMEDCT_US"", ""score"": 0.6}, {""ontology_id"": ""C1275069"", ""ontology"": ""SNOMEDCT_US"", ""score"": 0.6}, {""ontology_id"": ""C0261513"", ""ontology"": ""SNOMEDCT_US"", ""score"": 0.6}]"
Bladder Stones,Bladder Stones,C5958835,NCI,C5958835,OMOP Concept Identifier,0.6,Medical Concept,umls_api,https://www.nlm.nih.gov/research/umls/knowledge_sources/metathesaurus/C5958835,"[{""ontology_id"": ""C3879350"", ""ontology"": ""SNOMEDCT_US"", ""score"": 0.6}, {""ontology_id"": ""C1275069"", ""ontology"": ""SNOMEDCT_US"", ""score"": 0.6}, {""ontology_id"": ""C0261513"", ""ontology"": ""SNOMEDCT_US"", ""score"": 0.6}]"
Botulism,Botulism,C5958835,NCI,C5958835,OMOP Concept Identifier,0.6,Medical Concept,umls_api,https://www.nlm.nih.gov/research/umls/knowledge_sources/metathesaurus/C5958835,"[{""ontology_id"": ""C3879350"", ""ontology"": ""SNOMEDCT_US"", ""score"": 0.6}, {""ontology_id"": ""C1275069"", ""ontology"": ""SNOMEDCT_US"", ""score"": 0.6}, {""ontology_id"": ""C0261513"", ""ontology"": ""SNOMEDCT_US"", ""score"": 0.6}]"
Boys,Boys,C5958835,NCI,C5958835,OMOP Concept Identifier,0.6,Medical Concept,umls_api,https://www.nlm.nih.gov/research/umls/knowledge_sources/metathesaurus/C5958835,"[{""ontology_id"": ""C3879350"", ""ontology"": ""SNOMEDCT_US"", ""score"": 0.6}, {""ontology_id"": ""C1275069"", ""ontology"": ""SNOMEDCT_US"", ""score"": 0.6}, {""ontology_id"": ""C0261513"", ""ontology"": ""SNOMEDCT_US"", ""score"": 0.6}]"
Bruises,Bruises,C5958835,NCI,C5958835,OMOP Concept Identifier,0.6,Medical Concept,umls_api,https://www.nlm.nih.gov/research/umls/knowledge_sources/metathesaurus/C5958835,"[{""ontology_id"": ""C3879350"", ""ontology"": ""SNOMEDCT_US"", ""score"": 0.6}, {""ontology_id"": ""C1275069"", ""ontology"": ""SNOMEDCT_US"", ""score"": 0.6}, {""ontology_id"": ""C0261513"", ""ontology"": ""SNOMEDCT_US"", ""score"": 0.6}]"
Burned,[Event: Burned],C5958835,NCI,C5958835,OMOP Concept Identifier,0.6,Medical Concept,umls_api,https://www.nlm.nih.gov/research/umls/knowledge_sources/metathesaurus/C5958835,"[{""ontology_id"": ""C3879350"", ""ontology"": ""SNOMEDCT_US"", ""score"": 0.6}, {""ontology_id"": ""C1275069"", ""ontology"": ""SNOMEDCT_US"", ""score"": 0.6}, {""ontology_id"": ""C0261513"", ""ontology"": ""SNOMEDCT_US"", ""score"": 0.6}]"
Bursitis,Bursitis,C5958835,NCI,C5958835,OMOP Concept Identifier,0.6,Medical Concept,umls_api,https://www.nlm.nih.gov/research/umls/knowledge_sources/metathesaurus/C5958835,"[{""ontology_id"": ""C3879350"", ""ontology"": ""SNOMEDCT_US"", ""score"": 0.6}, {""ontology_id"": ""C1275069"", ""ontology"": ""SNOMEDCT_US"", ""score"": 0.6}, {""ontology_id"": ""C0261513"", ""ontology"": ""SNOMEDCT_US"", ""score"": 0.6}]"
CA-125 Test,CA-125 Test,C5958835,NCI,C5958835,OMOP Concept Identifier,0.6,Medical Concept,umls_api,https://www.nlm.nih.gov/research/umls/knowledge_sources/metathesaurus/C5958835,"[{""ontology_id"": ""C3879350"", ""ontology"": ""SNOMEDCT_US"", ""score"": 0.6}, {""ontology_id"": ""C1275069"", ""ontology"": ""SNOMEDCT_US"", ""score"": 0.6}, {""ontology_id"": ""C0261513"", ""ontology"": ""SNOMEDCT_US"", ""score"": 0.6}]"
COLD,COLD,C5958835,NCI,C5958835,OMOP Concept Identifier,0.6,Medical Concept,umls_api,https://www.nlm.nih.gov/research/umls/knowledge_sources/metathesaurus/C5958835,"[{""ontology_id"": ""C3879350"", ""ontology"": ""SNOMEDCT_US"", ""score"": 0.6}, {""ontology_id"": ""C1275069"", ""ontology"": ""SNOMEDCT_US"", ""score"": 0.6}, {""ontology_id"": ""C0261513"", ""ontology"": ""SNOMEDCT_US"", ""score"": 0.6}]"
COLIC,COLIC,C5958835,NCI,C5958835,OMOP Concept Identifier,0.6,Medical Concept,umls_api,https://www.nlm.nih.gov/research/umls/knowledge_sources/metathesaurus/C5958835,"[{""ontology_id"": ""C3879350"", ""ontology"": ""SNOMEDCT_US"", ""score"": 0.6}, {""ontology_id"": ""C1275069"", ""ontology"": ""SNOMEDCT_US"", ""score"": 0.6}, {""ontology_id"": ""C0261513"", ""ontology"": ""SNOMEDCT_US"", ""score"": 0.6}]"
CT scan,[Event: CT scan],C5958835,NCI,C5958835,OMOP Concept Identifier,0.6,Medical Concept,umls_api,https://www.nlm.nih.gov/research/umls/knowledge_sources/metathesaurus/C5958835,"[{""ontology_id"": ""C3879350"", ""ontology"": ""SNOMEDCT_US"", ""score"": 0.6}, {""ontology_id"": ""C1275069"", ""ontology"": ""SNOMEDCT_US"", ""score"": 0.6}, {""ontology_id"": ""C0261513"", ""ontology"": ""SNOMEDCT_US"", ""score"": 0.6}]"
Caffeine,Caffeine,C0304402,MTH,C0304402,Stimulant,1.0,Medical Concept,umls_api,https://www.nlm.nih.gov/research/umls/knowledge_sources/metathesaurus/C0304402,"[{""ontology_id"": ""C3536952"", ""ontology"": ""MTH"", ""score"": 0.8}, {""ontology_id"": ""C0304553"", ""ontology"": ""MTH"", ""score"": 0.8}, {""ontology_id"": ""C2711618"", ""ontology"": ""MTH"", ""score"": 0.8}]"
Carbon monoxide,Carbon monoxide,C4697752,LNC,C4697752,inhalation injury (toxic gas),0.8,Medical Concept,umls_api,https://www.nlm.nih.gov/research/umls/knowledge_sources/metathesaurus/C4697752,"[{""ontology_id"": ""C0277623"", ""ontology"": ""SNOMEDCT_US"", ""score"": 0.8}, {""ontology_id"": ""C2957075"", ""ontology"": ""UMD"", ""score"": 0.8}, {""ontology_id"": ""C0161716"", ""ontology"": ""MTH"", ""score"": 0.6}]"
Child,Child,C5915155,NIC,C5915155,Strive to know person as unique human being,0.8,Medical Concept,umls_api,https://www.nlm.nih.gov/research/umls/knowledge_sources/metathesaurus/C5915155,"[{""ontology_id"": ""C3687595"", ""ontology"": ""SNOMEDCT_VET"", ""score"": 0.8}, {""ontology_id"": ""C3824644"", ""ontology"": ""LCH_NW"", ""score"": 0.8}, {""ontology_id"": ""C3826038"", ""ontology"": ""LCH_NW"", ""score"": 0.8}]"
Children,Children,C3687595,SNOMEDCT_VET,C3687595,Assists human beings,0.8,Medical Concept,umls_api,https://www.nlm.nih.gov/research/umls/knowledge_sources/metathesaurus/C3687595,"[{""ontology_id"": ""C3824644"", ""ontology"": ""LCH_NW"", ""score"": 0.8}, {""ontology_id"": ""C3826038"", ""ontology"": ""LCH_NW"", ""score"": 0.8}, {""ontology_id"": ""C3687580"", ""ontology"": ""SNOMEDCT_VET"", ""score"": 0.8}]"
Cholera,Cholera,C1273849,MTH,C1273849,Infectious Disease Medicine,0.8,Disease or Syndrome,umls_api,https://www.nlm.nih.gov/research/umls/knowledge_sources/metathesaurus/C1273849,"[{""ontology_id"": ""C0178238"", ""ontology"": ""MTH"", ""score"": 0.8}, {""ontology_id"": ""C0275544"", ""ontology"": ""MTH"", ""score"": 0.8}, {""ontology_id"": ""C0700432"", ""ontology"": ""MTH"", ""score"": 0.8}]"
Cholesterol-lowering medications,Cholesterol-lowering medications,C4284232,MTH,C4284232,Medications,1.0,Pharmacologic Substance,umls_api,https://www.nlm.nih.gov/research/umls/knowledge_sources/metathesaurus/C4284232,"[{""ontology_id"": ""C2598133"", ""ontology"": ""MTH"", ""score"": 0.8}, {""ontology_id"": ""C0802604"", ""ontology"": ""MTH"", ""score"": 0.8}, {""ontology_id"": ""C5214468"", ""ontology"": ""LNC"", ""score"": 0.8}]"
Cigarettes and other forms of tobacco,Cigarettes and other forms of tobacco,C0040329,MTH,C0040329,Tobacco,0.8,Medical Concept,umls_api,https://www.nlm.nih.gov/research/umls/knowledge_sources/metathesaurus/C0040329,"[{""ontology_id"": ""C0682026"", ""ontology"": ""AOD"", ""score"": 0.8}, {""ontology_id"": ""C4505134"", ""ontology"": ""MSH"", ""score"": 0.8}, {""ontology_id"": ""C4505215"", ""ontology"": ""MSH"", ""score"": 0.8}]"
Cluster A personality disorders,Cluster A personality disorders,C5226020,CCSR_ICD10CM,C5226020,Encounter for mental health conditions,0.8,Disease or Syndrome,umls_api,https://www.nlm.nih.gov/research/umls/knowledge_sources/metathesaurus/C5226020,"[{""ontology_id"": ""C5570674"", ""ontology"": ""LNC"", ""score"": 0.6}, {""ontology_id"": ""C5771592"", ""ontology"": ""HCPCS"", ""score"": 0.6}, {""ontology_id"": ""C0580048"", ""ontology"": ""RCD"", ""score"": 0.6}]"
