:ID,name,labels,ontology_id,ontology_name,semantic_type,induced_concept,original_node,uri
Aldosteronism,Aldosteronism,Entity,C5958835,NCI,Medical Concept,medical concept,Aldosteronism,
Alzheimer's disease,Alzheimer's disease,Entity,C5958835,NCI,Medical Concept,medical concept,Alzheimer's disease,
Angiography,Angiography,Entity,C5958835,NCI,Medical Concept,medical concept,Angiography,
Antifreeze,Antifreeze,Entity,C5958835,NCI,Medical Concept,medical concept,Antifreeze,
Antiphospholipid antibody syndrome,Antiphospholipid antibody syndrome,Entity,C5958835,NCI,Medical Concept,medical concept,Antiphospholipid antibody syndrome,
Antiviral drugs,Antiviral drugs,Entity,C5958835,NCI,Medical Concept,medical concept,Antiviral drugs,
Appendicitis,Appendicitis,Entity,C5958835,NCI,Medical Concept,medical concept,Appendicitis,
Autism,Autism,Entity,C5958835,NCI,Medical Concept,medical concept,Autism,
BRCA1,BRCA1,Entity,C5958835,NCI,Medical Concept,medical concept,BRCA1,
BRCA2,BRCA2,Entity,C5958835,NCI,Medical Concept,medical concept,BRCA2,
Bacteria,Bacteria,Entity,C5958835,NCI,Medical Concept,medical concept,Bacteria,
Bad breath,Bad breath,Entity,C5958835,NCI,Medical Concept,medical concept,Bad breath,
Basal cell carcinoma,Basal cell carcinoma,Entity,C5958835,NCI,Medical Concept,medical concept,Basal cell carcinoma,
Bell's palsy,Bell's palsy,Entity,C5958835,NCI,Medical Concept,medical concept,Bell's palsy,
Benign moles,Benign moles,Entity,C5958835,NCI,Medical Concept,medical concept,Benign moles,
Binge Eating Disorder,Binge Eating Disorder,Entity,C5958835,NCI,Medical Concept,medical concept,Binge Eating Disorder,
Birth-2 months,Birth-2 months,Entity,C5958835,NCI,Medical Concept,medical concept,Birth-2 months,
Bites,Bites,Entity,C5958835,NCI,Medical Concept,medical concept,Bites,
Bladder Stones,Bladder Stones,Entity,C5958835,NCI,Medical Concept,medical concept,Bladder Stones,
Botulism,Botulism,Entity,C5958835,NCI,Medical Concept,medical concept,Botulism,
Boys,Boys,Entity,C5958835,NCI,Medical Concept,medical concept,Boys,
Bruises,Bruises,Entity,C5958835,NCI,Medical Concept,medical concept,Bruises,
Burned,Burned,Entity,C5958835,NCI,Medical Concept,medical concept,Burned,
Bursitis,Bursitis,Entity,C5958835,NCI,Medical Concept,medical concept,Bursitis,
CA-125 Test,CA-125 Test,Entity,C5958835,NCI,Medical Concept,medical concept,CA-125 Test,
COLD,COLD,Entity,C5958835,NCI,Medical Concept,medical concept,COLD,
COLIC,COLIC,Entity,C5958835,NCI,Medical Concept,medical concept,COLIC,
CT scan,CT scan,Entity,C5958835,NCI,Medical Concept,medical concept,CT scan,
Caffeine,Caffeine,Entity,C0304402,MTH,Medical Concept,"stimulant, psychoactive substance, central nervous system stimulant",Caffeine,
Carbon monoxide,Carbon monoxide,Entity,C4697752,LNC,Medical Concept,"toxic gas, environmental pollutant, air contaminant",Carbon monoxide,
Child,Child,Entity,C5915155,NIC,Medical Concept,"human being, juvenile, minor",Child,
Children,Children,Entity,C3687595,SNOMEDCT_VET,Medical Concept,"human beings, juveniles, minors",Children,
Cholera,Cholera,Entity,C1273849,MTH,Disease or Syndrome,"infectious disease, bacterial infection, waterborne illness",Cholera,
Cholesterol-lowering medications,Cholesterol-lowering medications,Entity,C4284232,MTH,Pharmacologic Substance,"medications, drugs, lipid regulators",Cholesterol-lowering medications,
Cigarettes and other forms of tobacco,Cigarettes and other forms of tobacco,Entity,C0040329,MTH,Medical Concept,"tobacco products, nicotine delivery devices, carcinogens",Cigarettes and other forms of tobacco,
Cluster A personality disorders,Cluster A personality disorders,Entity,C5226020,CCSR_ICD10CM,Disease or Syndrome,"mental health conditions, psychiatric disorders, personality traits",Cluster A personality disorders,
Cluster B personality disorders,Cluster B personality disorders,Entity,C5226020,CCSR_ICD10CM,Disease or Syndrome,"mental health conditions, psychiatric disorders, personality traits",Cluster B personality disorders,
Cluster C personality disorders,Cluster C personality disorders,Entity,C5226020,CCSR_ICD10CM,Disease or Syndrome,"mental health conditions, psychiatric disorders, anxiety disorders",Cluster C personality disorders,
"Cosmetics, colognes, or perfumes","Cosmetics, colognes, or perfumes",Entity,C4288402,MSH,Patient or Healthcare Provider,"personal care products, fragrances, skin irritants","Cosmetics, colognes, or perfumes",
Cramp,Cramp,Entity,C4060703,NANDA-I,Sign or Symptom,"musculoskeletal condition, pain symptom, muscle spasm",Cramp,
Crohn's disease,Crohn's disease,Entity,C0021390,MTH,Disease or Syndrome,"inflammatory bowel disease, gastrointestinal disorder, autoimmune condition",Crohn's disease,
Cut,Cut,Entity,C0043250,MTH,Pharmacologic Substance,"wound, injury, laceration",Cut,
DIABETES,DIABETES,Entity,C1263722,SNOMEDCT_US,Disease or Syndrome,"metabolic disorder, endocrine disease, insulin deficiency",DIABETES,
DNA,DNA,Entity,C0440471,MSH,Medical Concept,"genetic material, nucleic acid, hereditary information",DNA,
Depression,Depression,Entity,C5570674,LNC,Disease or Syndrome,"mental health condition, mood disorder, psychiatric illness",Depression,
Diaper rash,Diaper rash,Entity,C5958835,NCI,Medical Concept,medical concept,Diaper rash,
Diaper rash is easily diagnosed,Diaper rash is easily diagnosed,Entity,C2015792,MEDCIN,Disease or Syndrome,"diagnosable condition, identifiable symptom, treatable disease",Diaper rash is easily diagnosed,
Different Drug,Different Drug,Entity,C5958835,NCI,Medical Concept,medical concept,Different Drug,
Disease,Disease,Entity,C5958835,NCI,Medical Concept,medical concept,Disease,
"Dizziness, confusion, or loss of consciousness","Dizziness, confusion, or loss of consciousness",Entity,C5958835,NCI,Medical Concept,medical concept,"Dizziness, confusion, or loss of consciousness",
Doctor,Doctor,Entity,C5958835,NCI,Medical Concept,medical concept,Doctor,
Doctors,Doctors,Entity,C5958835,NCI,Medical Concept,medical concept,Doctors,
Drink six to eight glasses of water each day,Drink six to eight glasses of water each day,Entity,C5958835,NCI,Medical Concept,medical concept,Drink six to eight glasses of water each day,
Drug,Drug,Entity,C5958835,NCI,Medical Concept,medical concept,Drug,
Drugs of any kind,Drugs of any kind,Entity,C5958835,NCI,Medical Concept,medical concept,Drugs of any kind,
Dyscalculia,Dyscalculia,Entity,C5958835,NCI,Medical Concept,medical concept,Dyscalculia,
EMERGENCY,EMERGENCY,Entity,C5958835,NCI,Medical Concept,medical concept,EMERGENCY,
ERCP,ERCP,Entity,C5958835,NCI,Medical Concept,medical concept,ERCP,
Echinacea,Echinacea,Entity,C5958835,NCI,Medical Concept,medical concept,Echinacea,
Epidermal cysts,Epidermal cysts,Entity,C5958835,NCI,Medical Concept,medical concept,Epidermal cysts,
Excess salt,Excess salt,Entity,C5958835,NCI,Medical Concept,medical concept,Excess salt,
Exercise,Exercise,Entity,C5958835,NCI,Medical Concept,medical concept,Exercise,
Exercising the leg,Exercising the leg,Entity,C5958835,NCI,Medical Concept,medical concept,Exercising the leg,
Extracorporeal lithotripsy,Extracorporeal lithotripsy,Entity,C5958835,NCI,Medical Concept,medical concept,Extracorporeal lithotripsy,
Fat-soluble vitamins,Fat-soluble vitamins,Entity,C5958835,NCI,Medical Concept,medical concept,Fat-soluble vitamins,
Fever,Fever,Entity,C5958835,NCI,Medical Concept,medical concept,Fever,
Folic acid deficiency anemia,Folic acid deficiency anemia,Entity,C5958835,NCI,Medical Concept,medical concept,Folic acid deficiency anemia,
Free radicals,Free radicals,Entity,C5958835,NCI,Medical Concept,medical concept,Free radicals,
GASTROENTERITIS,GASTROENTERITIS,Entity,C5958835,NCI,Medical Concept,medical concept,GASTROENTERITIS,
GERD,GERD,Entity,C5958835,NCI,Medical Concept,medical concept,GERD,
"Gardening products such as fertilizer, fungicide, or weed killer","Gardening products such as fertilizer, fungicide, or weed killer",Entity,C5958835,NCI,Medical Concept,medical concept,"Gardening products such as fertilizer, fungicide, or weed killer",
Glossitis,Glossitis,Entity,C5958835,NCI,Medical Concept,medical concept,Glossitis,
HDL (good) cholesterol,HDL (good) cholesterol,Entity,C5958835,NCI,Medical Concept,medical concept,HDL (good) cholesterol,
HDL cholesterol,HDL cholesterol,Entity,C5958835,NCI,Medical Concept,medical concept,HDL cholesterol,
HEART DISEASE,HEART DISEASE,Entity,C5958835,NCI,Medical Concept,medical concept,HEART DISEASE,
HEAVY PERIODS,HEAVY PERIODS,Entity,C5958835,NCI,Medical Concept,medical concept,HEAVY PERIODS,
HGSIL,HGSIL,Entity,C5958835,NCI,Medical Concept,medical concept,HGSIL,
HMG CoA reductase,HMG CoA reductase,Entity,C4521602,MTH,Medical Concept,"enzyme, protein, cholesterol regulator, lipid metabolism enzyme",HMG CoA reductase,
HPV,HPV,Entity,C0042776,MTH,Disease or Syndrome,"virus, infectious agent, sexually transmitted disease, cancer causing virus",HPV,
Having a mammogram,Having a mammogram,Entity,C0199171,MTH,Therapeutic or Preventive Procedure,"medical procedure, diagnostic test, breast imaging, screening exam",Having a mammogram,
Headache,Headache,Entity,C1457887,MTH,Disease or Syndrome,"symptom, medical condition, pain disorder, neurological symptom",Headache,
Healthy mitral valve,Healthy mitral valve,Entity,C0700276,MTH,Medical Concept,"anatomical structure, heart component, valve function, normal physiology",Healthy mitral valve,
Hearing aids,Hearing aids,Entity,C1550509,MTH,Medical Concept,"device, assistive technology, hearing aid, auditory device",Hearing aids,
Heart transplant,Heart transplant,Entity,C0543467,MTH,Therapeutic or Preventive Procedure,"surgical procedure, organ transplant, cardiac surgery, medical treatment",Heart transplant,
Heat exhaustion,Heat exhaustion,Entity,C4745084,NCI,Disease or Syndrome,"medical condition, heat related illness, dehydration disorder, hyperthermia symptom",Heat exhaustion,
Heatstroke,Heatstroke,Entity,C5818416,SNOMEDCT_US,Disease or Syndrome,"medical emergency, heat related illness, neurological disorder, hyperthermia complication",Heatstroke,
Hemoglobin A1C test,Hemoglobin A1C test,Entity,C5890753,MTH,Disease or Syndrome,"medical test, diagnostic exam, blood glucose test, diabetes screening",Hemoglobin A1C test,
Hepatitis B,Hepatitis B,Entity,C0042776,MTH,Disease or Syndrome,"virus, infectious agent, liver disease, viral hepatitis",Hepatitis B,
Hepatitis B (1st dose),Hepatitis B (1st dose),Entity,C0042210,MTH,Medical Concept,"vaccine, immunization, vaccine series, hepatitis b vaccination",Hepatitis B (1st dose),
Hepatitis B (2nd dose),Hepatitis B (2nd dose),Entity,C0042210,MTH,Medical Concept,"vaccine, immunization, vaccine series, hepatitis b vaccination",Hepatitis B (2nd dose),
Hip replacement,Hip replacement,Entity,C0543467,MTH,Therapeutic or Preventive Procedure,"surgical procedure, joint surgery, orthopedic surgery, medical treatment",Hip replacement,
Hodgkin's disease,Hodgkin's disease,Entity,C5958835,NCI,Medical Concept,medical concept,Hodgkin's disease,
"Household cleaners such as bleach, dishwasher and dishwashing detergent, drain cleaner, furniture polish, glass cleaner, grease remover, laundry detergent, oven cleaner, scouring powder, or toilet bowl cleaner","Household cleaners such as bleach, dishwasher and dishwashing detergent, drain cleaner, furniture polish, glass cleaner, grease remover, laundry detergent, oven cleaner, scouring powder, or toilet bowl cleaner",Entity,C0220806,MTH,Medical Concept,"chemical, cleaning agent, household product, toxic substance","Household cleaners such as bleach, dishwasher and dishwashing detergent, drain cleaner, furniture polish, glass cleaner, grease remover, laundry detergent, oven cleaner, scouring powder, or toilet bowl cleaner",
INDIGESTION,INDIGESTION,Entity,C1457887,MTH,Disease or Syndrome,"symptom, medical condition, gastrointestinal disorder, digestive symptom",INDIGESTION,
INTESTINAL OBSTRUCTION,INTESTINAL OBSTRUCTION,Entity,C4745084,NCI,Disease or Syndrome,"medical condition, gastrointestinal disorder, intestinal blockage, bowel obstruction",INTESTINAL OBSTRUCTION,
IRON DEFICIENCY ANEMIA,IRON DEFICIENCY ANEMIA,Entity,C4745084,NCI,Disease or Syndrome,"medical condition, blood disorder, anemia type, iron deficiency disease",IRON DEFICIENCY ANEMIA,
IUD,IUD,Entity,C1550509,MTH,Pharmacologic Substance,"device, contraceptive device, birth control method, intrauterine device",IUD,
Impaired memory,Impaired memory,Entity,C5958835,NCI,Medical Concept,medical concept,Impaired memory,
Increased pressure and congestion in the lungs,Increased pressure and congestion in the lungs,Entity,C5958835,NCI,Medical Concept,medical concept,Increased pressure and congestion in the lungs,
Increasing Circulation,Increasing Circulation,Entity,C5958835,NCI,Medical Concept,medical concept,Increasing Circulation,
Indigestion,Indigestion,Entity,C5958835,NCI,Medical Concept,medical concept,Indigestion,
Insect,Insect,Entity,C5958835,NCI,Medical Concept,medical concept,Insect,
Insecticides,Insecticides,Entity,C5958835,NCI,Medical Concept,medical concept,Insecticides,
Insulin,Insulin,Entity,C5958835,NCI,Medical Concept,medical concept,Insulin,
Iron,Iron,Entity,C5958835,NCI,Medical Concept,medical concept,Iron,
Klinefelter syndrome,Klinefelter syndrome,Entity,C5958835,NCI,Medical Concept,medical concept,Klinefelter syndrome,
LDL (bad) cholesterol,LDL (bad) cholesterol,Entity,C5958835,NCI,Medical Concept,medical concept,LDL (bad) cholesterol,
LDL cholesterol,LDL cholesterol,Entity,C5958835,NCI,Medical Concept,medical concept,LDL cholesterol,
LGSIL,LGSIL,Entity,C5958835,NCI,Medical Concept,medical concept,LGSIL,
Labyrinthitis,Labyrinthitis,Entity,C5958835,NCI,Medical Concept,medical concept,Labyrinthitis,
Liposuction,Liposuction,Entity,C5958835,NCI,Medical Concept,medical concept,Liposuction,
Liquor,Liquor,Entity,C5958835,NCI,Medical Concept,medical concept,Liquor,
Looped,Looped,Entity,C5958835,NCI,Medical Concept,medical concept,Looped,
Low Blood Pressure,Low Blood Pressure,Entity,C5958835,NCI,Medical Concept,medical concept,Low Blood Pressure,
Low-impact aerobic exercises,Low-impact aerobic exercises,Entity,C5958835,NCI,Medical Concept,medical concept,Low-impact aerobic exercises,
MRI,MRI,Entity,C5958835,NCI,Medical Concept,medical concept,MRI,
Measles,Measles,Entity,C5958835,NCI,Medical Concept,medical concept,Measles,
Medication,Medication,Entity,C5958835,NCI,Medical Concept,medical concept,Medication,
Metformin,Metformin,Entity,C5958835,NCI,Medical Concept,medical concept,Metformin,
Methylphenidate,Methylphenidate,Entity,C5958835,NCI,Medical Concept,medical concept,Methylphenidate,
Mild strengthening exercises,Mild strengthening exercises,Entity,C5958835,NCI,Medical Concept,medical concept,Mild strengthening exercises,
Mitral Stenosis,Mitral Stenosis,Entity,C5958835,NCI,Medical Concept,medical concept,Mitral Stenosis,
Mitral stenosis,Mitral stenosis,Entity,C5958835,NCI,Medical Concept,medical concept,Mitral stenosis,
Moles,Moles,Entity,C5958835,NCI,Medical Concept,medical concept,Moles,
Molluscum Contagiosum,Molluscum Contagiosum,Entity,C5958835,NCI,Medical Concept,medical concept,Molluscum Contagiosum,
NF1,NF1,Entity,C5958835,NCI,Medical Concept,medical concept,NF1,
Nail polish and removers,Nail polish and removers,Entity,C5958835,NCI,Medical Concept,medical concept,Nail polish and removers,
Nausea or vomiting,Nausea or vomiting,Entity,C0426576,SNOMEDCT_US,Sign or Symptom,"gastrointestinal symptom, adverse reaction, bodily function, health issue",Nausea or vomiting,
Nicotine,Nicotine,Entity,C0682880,SNOMEDCT_US,Medical Concept,"psychoactive substance, addictive agent, stimulant, tobacco component",Nicotine,
Noises in the ear,Noises in the ear,Entity,C5958835,NCI,Medical Concept,medical concept,Noises in the ear,
OLDER PEOPLE,OLDER PEOPLE,Entity,C5205744,NCI,Medical Concept,"demographic group, age category, population subset, vulnerable population",OLDER PEOPLE,
Orgasm,Orgasm,Entity,C5934338,NOC,Medical Concept,"sexual response, bodily function, reproductive process, pleasure experience",Orgasm,
PEPTIC ULCER,PEPTIC ULCER,Entity,C0852271,SNOMEDCT_US,Disease or Syndrome,"gastrointestinal disorder, mucosal damage, ulcerative condition, disease state",PEPTIC ULCER,
PERITONITIS,PERITONITIS,Entity,C0544805,SNM,Disease or Syndrome,"inflammatory condition, abdominal infection, peritoneal inflammation, disease state",PERITONITIS,
PSA Test,PSA Test,Entity,C3826004,LCH_NW,Therapeutic or Preventive Procedure,"medical screening, diagnostic procedure, prostate assessment, health checkup",PSA Test,
PSA test,PSA test,Entity,C3826004,LCH_NW,Therapeutic or Preventive Procedure,"medical screening, diagnostic procedure, prostate assessment, health checkup",PSA test,
Pain in the eye or ear,Pain in the eye or ear,Entity,C2063823,MEDCIN,Sign or Symptom,"sensory symptom, ocular problem, auditory issue, bodily function",Pain in the eye or ear,
Pain in the face,Pain in the face,Entity,C2063823,MEDCIN,Sign or Symptom,"sensory symptom, facial pain, bodily function, health issue",Pain in the face,
Painful urination,Painful urination,Entity,C0421298,SNOMEDCT_US,Sign or Symptom,"urinary symptom, genitourinary problem, bodily function, health issue",Painful urination,
Pap smear,Pap smear,Entity,C3826004,LCH_NW,Therapeutic or Preventive Procedure,"medical screening, diagnostic procedure, cervical assessment, health checkup",Pap smear,
Pap test,Pap test,Entity,C3826004,LCH_NW,Therapeutic or Preventive Procedure,"medical screening, diagnostic procedure, cervical assessment, health checkup",Pap test,
Parent,Parent,Entity,C4721573,MTH,Medical Concept,"family role, caregiver, guardian, social relationship",Parent,
Parkinson's disease,Parkinson's disease,Entity,C0524851,MTH,Disease or Syndrome,"neurodegenerative disorder, motor dysfunction, disease state, chronic condition",Parkinson's disease,
Patient,Patient,Entity,UNKNOWN:PATIENT,UNKNOWN,Patient or Healthcare Provider,"individual recipient, healthcare user, medical subject, person under care",Patient,
Patients,Patients,Entity,C0374505,CPT,Patient or Healthcare Provider,"group of individuals, healthcare users, medical subjects, people receiving care",Patients,
Pelvic Inflammatory Disease,Pelvic Inflammatory Disease,Entity,C1948090,OMS,Disease or Syndrome,"infectious condition, genitourinary disorder, pelvic inflammation, disease state",Pelvic Inflammatory Disease,
People,People,Entity,C0178692,CSP,Medical Concept,"human population, demographic group, age category, vulnerable population",People,
People who have chronic ear drainage,People who have chronic ear drainage,Entity,C5958835,NCI,Medical Concept,medical concept,People who have chronic ear drainage,
Person,Person,Entity,C5958835,NCI,Medical Concept,medical concept,Person,
Physical therapist,Physical therapist,Entity,C5958835,NCI,Medical Concept,medical concept,Physical therapist,
Pinched,Pinched,Entity,C5958835,NCI,Medical Concept,medical concept,Pinched,
Polymyositis,Polymyositis,Entity,C5958835,NCI,Medical Concept,medical concept,Polymyositis,
Pressure rise in the atrium,Pressure rise in the atrium,Entity,C5958835,NCI,Medical Concept,medical concept,Pressure rise in the atrium,
Psychotic disorders,Psychotic disorders,Entity,C5958835,NCI,Medical Concept,medical concept,Psychotic disorders,
RHEUMATOID ARTHRITIS,RHEUMATOID ARTHRITIS,Entity,C5958835,NCI,Medical Concept,medical concept,RHEUMATOID ARTHRITIS,
Regular aerobic exercise,Regular aerobic exercise,Entity,C5958835,NCI,Medical Concept,medical concept,Regular aerobic exercise,
Regular exercise,Regular exercise,Entity,C5958835,NCI,Medical Concept,medical concept,Regular exercise,
Renal dysplasia,Renal dysplasia,Entity,C5958835,NCI,Medical Concept,medical concept,Renal dysplasia,
Respiratory Distress Syndrome,Respiratory Distress Syndrome,Entity,C5958835,NCI,Medical Concept,medical concept,Respiratory Distress Syndrome,
Retinol,Retinol,Entity,C5958835,NCI,Medical Concept,medical concept,Retinol,
SAD,SAD,Entity,C5958835,NCI,Medical Concept,medical concept,SAD,
SARS,SARS,Entity,C5958835,NCI,Medical Concept,medical concept,SARS,
STDs,STDs,Entity,C5958835,NCI,Medical Concept,medical concept,STDs,
Scabies,Scabies,Entity,C5958835,NCI,Medical Concept,medical concept,Scabies,
Sclerotherapy,Sclerotherapy,Entity,C5958835,NCI,Medical Concept,medical concept,Sclerotherapy,
Seizures,Seizures,Entity,C5958835,NCI,Medical Concept,medical concept,Seizures,
Sexuality,Sexuality,Entity,C5958835,NCI,Medical Concept,medical concept,Sexuality,
Sexually Transmitted Diseases,Sexually Transmitted Diseases,Entity,C5958835,NCI,Medical Concept,medical concept,Sexually Transmitted Diseases,
Sjögren's syndrome,Sjögren's syndrome,Entity,C5958835,NCI,Medical Concept,medical concept,Sjögren's syndrome,
Sleep medication,Sleep medication,Entity,C5958835,NCI,Medical Concept,medical concept,Sleep medication,
Smoking,Smoking,Entity,C5958835,NCI,Medical Concept,medical concept,Smoking,
Some people,Some people,Entity,C5958835,NCI,Medical Concept,medical concept,Some people,
Southeast,Southeast,Entity,C5958835,NCI,Medical Concept,medical concept,Southeast,
Southeast and South Central United States,Southeast and South Central United States,Entity,C5958835,NCI,Medical Concept,medical concept,Southeast and South Central United States,
Spermicides,Spermicides,Entity,C5958835,NCI,Medical Concept,medical concept,Spermicides,
Statins,Statins,Entity,C5958835,NCI,Medical Concept,medical concept,Statins,
Stiff neck,Stiff neck,Entity,C5958835,NCI,Medical Concept,medical concept,Stiff neck,
Stretching exercises,Stretching exercises,Entity,C0026606,MTH,Therapeutic or Preventive Procedure,"physical activity, exercise, stretching, movement therapy",Stretching exercises,
TIAs and stroke,TIAs and stroke,Entity,C5958835,NCI,Medical Concept,medical concept,TIAs and stroke,
TMD,TMD,Entity,C1168170,MDR,Disease or Syndrome,"dental condition, temporomandibular joint disorder, jaw pain syndrome, orofacial pain",TMD,
Temporomandibular Disorder,Temporomandibular Disorder,Entity,C1168170,MDR,Disease or Syndrome,"dental condition, temporomandibular joint disorder, jaw pain syndrome, orofacial pain",Temporomandibular Disorder,
Temporomandibular joint,Temporomandibular joint,Entity,C0700276,MTH,Medical Concept,"anatomical structure, dental joint, jaw joint, mandible articulation",Temporomandibular joint,
Thallium,Thallium,Entity,C4707941,SNOMEDCT_US,Medical Concept,"chemical element, metal, toxic substance, radioactive isotope",Thallium,
"The main symptom of diaper rash is red, spotty, sore, moist skin","The main symptom of diaper rash is red, spotty, sore, moist skin",Entity,C1719933,MTH,Disease or Syndrome,"skin condition, dermatological disorder, diaper rash, irritant contact dermatitis","The main symptom of diaper rash is red, spotty, sore, moist skin",
Tooth DEAY,Tooth DEAY,Entity,C1168170,MDR,Medical Concept,"dental condition, tooth decay, dental caries, enamel erosion",Tooth DEAY,
Torn Knee Cartilage,Torn Knee Cartilage,Entity,C3263723,MTH,Medical Concept,"injury, cartilaginous damage, knee trauma, meniscal tear",Torn Knee Cartilage,
Torn Knee Ligament,Torn Knee Ligament,Entity,C5958835,NCI,Medical Concept,medical concept,Torn Knee Ligament,
Tubal cannulation,Tubal cannulation,Entity,C0199171,MTH,Therapeutic or Preventive Procedure,"medical procedure, tubal dilation, fallopian tube treatment, reproductive health intervention",Tubal cannulation,
Tularemia,Tularemia,Entity,C0004623,MTH,Disease or Syndrome,"bacterial infection, zoonotic disease, Francisella tularensis infection, rabbit fever",Tularemia,
Type 2 Diabetes,Type 2 Diabetes,Entity,C1263722,SNOMEDCT_US,Disease or Syndrome,"metabolic disorder, insulin resistance syndrome, glucose intolerance, hyperglycemia",Type 2 Diabetes,
Upper eyelid surgery,Upper eyelid surgery,Entity,C0199171,MTH,Therapeutic or Preventive Procedure,"medical procedure, ophthalmic surgery, blepharoplasty, eye lift",Upper eyelid surgery,
"Vigorous exercise and hot, humid weather","Vigorous exercise and hot, humid weather",Entity,C4062744,NANDA-I,Medical Concept,"environmental factor, heat stress, humidity exposure, physical exertion","Vigorous exercise and hot, humid weather",
Viral infections,Viral infections,Entity,C1273849,MTH,Disease or Syndrome,"infectious disease, viral disorder, communicable disease, pathogen transmission",Viral infections,
Viruses,Viruses,Entity,C0445623,MTH,Medical Concept,"microorganism, infectious agent, pathogen, genetic material",Viruses,
Vitamin B12 deficiency anemia,Vitamin B12 deficiency anemia,Entity,C0565602,SNOMEDCT_US,Disease or Syndrome,"nutritional disorder, hematological condition, vitamin deficiency, megaloblastic anemia",Vitamin B12 deficiency anemia,
Vitamin D,Vitamin D,Entity,C0042890,MTH,Medical Concept,"vitamin, nutrient, hormone precursor, calcitriol",Vitamin D,
Vitamins,Vitamins,Entity,C2347375,MTH,Medical Concept,"nutrient, dietary supplement, essential compound, micronutrient",Vitamins,
Vomiting,Vomiting,Entity,C5958835,NCI,Medical Concept,medical concept,Vomiting,
Water,Water,Entity,C5958835,NCI,Medical Concept,medical concept,Water,
Water-soluble vitamins,Water-soluble vitamins,Entity,C5958835,NCI,Medical Concept,medical concept,Water-soluble vitamins,
"Weakness, numbness, or paralysis","Weakness, numbness, or paralysis",Entity,C5958835,NCI,Medical Concept,medical concept,"Weakness, numbness, or paralysis",
Wilson's disease,Wilson's disease,Entity,C5958835,NCI,Medical Concept,medical concept,Wilson's disease,
X-ray,X-ray,Entity,C5958835,NCI,Medical Concept,medical concept,X-ray,
X-ray pictures,X-ray pictures,Entity,C5958835,NCI,Medical Concept,medical concept,X-ray pictures,
X-rays,X-rays,Entity,C5958835,NCI,Medical Concept,medical concept,X-rays,
You,You,Entity,C5958835,NCI,Medical Concept,medical concept,You,
