:START_ID,:END_ID,:TYPE,relation,confidence,segment_id,doc_id
Doctor,[Event: well-child visits],PERFORM,perform,1,104,
Doctor,[Event: problems sleeping],TALK_TO,talk to,1,119,
Doctor,[Event: physical therapy],RECOMMEND,recommend,1,357,
Doctors,[Event: prescription drugs],PRESCRIBE,prescribe,1,252,
Doctors,[Event: retinol treatment],PRESCRIBE,prescribe,1,393,
Drink six to eight glasses of water each day,[Event: need for water],INCREASE,increase,1,18,
Drug,Disease,TREATS,treats,1,0,
Drug,Disease,TREATS,treats,1,253,
Drugs of any kind,disease,TREATS,treats,1,64,
Dyscalculia,defect in the way the brain processes information that relates to numbers,CAUSED_BY,caused by,1,120,
ERCP,blockage,IS_USED_TO_OPEN_A_BLOCKAGE_IN_THE_COMMON_BILE_DUCT,is used to open a blockage in the common bile duct,1,277,
Echinacea,upper respiratory infections,TREATS,treats,1,37,
Echinacea,immune-suppressing drugs,INTERFERE_WITH,interfere with,1,37,
Epidermal cysts,harmless,ARE,are,1,47,
Excess salt,[Event: your body to retain water],CAUSES,causes,1,186,
Excess salt,[Event: blood volume],RAISES,raises,1,186,
Exercise,osteoarthritis,TREATS,treats,1,357,
Exercise,healthy weight,HELPS,helps,1,357,
Extracorporeal lithotripsy,Bladder Stones,USED_FOR,used for,1,285,
Fat-soluble vitamins,found,ARE,are,1,2,
Fever,severe and persistent Headache,ACCOMPANIED_BY,accompanied by,1,230,
Folic acid deficiency anemia,palpitations,TREATS,treats,1,201,
Free radicals,[Event: normal cell processes],ARE_FORMED_BY,are formed by,1,2,
GASTROENTERITIS,mild case of,TREATS,treats,1,99,
GERD,belching,INCLUDE,include,1,258,
GERD,acidic taste in your mouth,INCLUDE,include,1,258,
GERD,difficulty swallowing,CAUSE,cause,1,258,
"Gardening products such as fertilizer, fungicide, or weed killer",poisoning,CAN_CAUSE,can cause,1,64,
Glossitis,an infection,CAN_RESULT_FROM,can result from,1,257,
Glossitis,a vitamin deficiency,CAN_RESULT_FROM,can result from,1,257,
Glossitis,an allergic reaction,CAN_RESULT_FROM,can result from,1,257,
HDL (good) cholesterol,heart disease,PREVENTS,prevents,1,56,
HDL cholesterol,heart,IS_GOOD_FOR_THE_HEART,is good for the heart,1,17,
HEART DISEASE,heart attack,INDICATE,indicate,1,77,
HGSIL,dysplasia,EVALUATE_AND_CLASSIFY,evaluate and classify,1,307,
HPV,cervix,DETERMINE_IF_PRESENT,determine if present,1,307,
Headache,serious underlying problem,MAY_BE_A_WARNING_SIGN_OF,may be a warning sign of,1,230,
Healthy mitral valve,oxygen-rich blood to flow from the left atrium into the left ventricle,ALLOWS,allows,1,191,
Hearing aids,hearing problems,TREATS,treats,1,365,
Hearing aids,chronic ear drainage,NOT_SUITABLE_FOR,not suitable for,1,365,
Hearing aids,allergic to the plastic used in hearing aids,NOT_SUITABLE_FOR,not suitable for,1,365,
Heart transplant,advanced heart disease,TREATS,treats,1,184,
Heat exhaustion,EMERGENCY,TREATS,treats,1,93,
Heatstroke,prolonged exposure to very hot conditions,CAUSED_BY,caused by,1,63,
Hemoglobin A1C test,diabetes,MONITORS,monitors,1,316,
Hepatitis B,Disease,TREATS,treats,1,104,
Hepatitis B (1st dose),Birth-2 months,ADMINISTERED_AT,administered at,1,104,
Hepatitis B (2nd dose),1-4 months,ADMINISTERED_AT,administered at,1,104,
Hip replacement,damaged hip joint,TREATS,treats,1,358,
Hodgkin's disease,white blood cells,ARISES_FROM,arises from,1,207,
Hodgkin's disease,lymph node,DEVELOPS_IN,develops in,1,207,
Hodgkin's disease,adolescents and young adults,MOST_COMMON_IN,most common in,1,207,
Hodgkin's disease,people over age 50,MOST_COMMON_IN,most common in,1,207,
"Household cleaners such as bleach, dishwasher and dishwashing detergent, drain cleaner, furniture polish, glass cleaner, grease remover, laundry detergent, oven cleaner, scouring powder, or toilet bowl cleaner",burns,CAN_CAUSE,can cause,1,64,
INTESTINAL OBSTRUCTION,severe abdominal pain,HAS_SYMPTOM,has symptom,1,89,
IUD,IRON DEFICIENCY ANEMIA,TREATS,treats,1,96,
IUD,HEAVY PERIODS,CAUSES,causes,1,96,
Increasing Circulation,Exercising the leg,CAUSES,causes,1,72,
Indigestion,Abdominal pain,HAS_SYMPTOM,has symptom,1,101,
Insect,[Event: ear tickling sensation],MAY_BE_TRAPPED_IN,may be trapped in,1,86,
Insecticides,poisoning,CAN_CAUSE,can cause,1,64,
Insulin,diabetes,PRESCRIBED_FOR,prescribed for,1,314,
Iron,hemoglobin,IS_AN_ESSENTIAL_COMPONENT_OF,is an essential component of,1,200,
Klinefelter syndrome,a fetus using chromosome analysis,CAN_BE_DIAGNOSED_IN,can be diagnosed in,1,341,
LDL (bad) cholesterol,high risk of heart disease,CONTRIBUTES_TO,contributes to,1,56,
LDL cholesterol,heart disease,CAN_BE_HARMFUL_TO_THE_HEART_AND_CAN_INCREASE_YOUR_RISK_OF_HEART_ATTACK,can be harmful to the heart and can increase your risk of heart attack,1,17,
LGSIL,dysplasia,EVALUATE_AND_CLASSIFY,evaluate and classify,1,307,
Labyrinthitis,viral or bacterial infection,CAUSED_BY,caused by,1,363,
Liposuction,an outpatient procedure,PERFORMED,performed,1,396,
Liquor,alcohol poisoning,CAN_CAUSE,can cause,1,64,
Looped,Sexually Transmitted Diseases,TREATS,treats,1,145,
Low-impact aerobic exercises,exercise program,PART_OF,part of,1,357,
MRI,computer,USES,uses,1,44,
MRI,scanner,USES,uses,1,44,
Measles,respiratory system,AFFECTS,affects,1,129,
Medication,Low Blood Pressure,TREATS,treats,1,80,
Metformin,Type 2 Diabetes,TREATS,treats,1,50,
Methylphenidate,danger,TREATS,treats,1,138,
Mild strengthening exercises,exercise program,PART_OF,part of,1,357,
Mitral Stenosis,Increased pressure and congestion in the lungs,CAUSES,causes,1,191,
Mitral stenosis,[Event: congestiv,LEADS_TO,leads to,1,191,
Moles,cancerous,CAN_BECOME,can become,1,381,
Molluscum Contagiosum,virus,CAUSED_BY,caused by,1,382,
NF1,symptoms,HAS,has,1,346,
Nail polish and removers,toxicity,CAN_CAUSE,can cause,1,64,
Nausea or vomiting,severe and persistent Headache,ACCOMPANIED_BY,accompanied by,1,230,
Nicotine,heart rate,RAISES,raises,1,11,
Nicotine,lining of your blood vessels,IRRITATES,irritates,1,11,
Nicotine,blood clotting,PROMOTES,promotes,1,11,
Nicotine,[Event: heart attack and stroke],RAISES,raises,1,11,
OLDER PEOPLE,[Event: Looped and banded],EXPERIENCES,experiences,1,145,
OLDER PEOPLE,[Event: Pinched with clip],EXPERIENCES,experiences,1,145,
OLDER PEOPLE,[Event: Burned],EXPERIENCES,experiences,1,145,
OLDER PEOPLE,[Event: Cut and tied],EXPERIENCES,experiences,1,145,
Orgasm,the sexual response cycle,IS_THE_CLIMAX_STAGE_OF,is the climax stage of,1,141,
PERITONITIS,severe abdominal pain,HAS_SYMPTOM,has symptom,1,89,
PSA Test,Albumin,MEASURES,measures,1,57,
PSA Test,recurrence of prostate cancer,USED_TO_DETECT,used to detect,1,57,
PSA test,men,IS_RECOMMENDED_FOR,is recommended for,1,53,
Pain in the eye or ear,severe and persistent Headache,ACCOMPANIED_BY,accompanied by,1,230,
Pain in the face,Impaired memory,CAUSES,causes,1,82,
Pap smear,women,IS_RECOMMENDED_FOR,is recommended for,1,53,
Pap smear,cervix,CHECK_FOR_CANCER,check for cancer,1,297,
Pap test,Adults younger than 30,SCREENING_TEST,Screening test,1,54,
Parent,[Event: child ingesting poisonous substance],PREVENTS,prevents,1,64,
Parent,[Event: appendicitis],SEEKS_MEDICAL_HELP_FOR,seeks medical help for,1,101,
Parkinson's disease,areas involved with movement,AFFECTS,affects,1,232,
Parkinson's disease,[Event: movement],AFFECTS_AREAS_INVOLVED_WITH,affects areas involved with,1,232,
Parkinson's disease,ileus,INCREASE_RISK_OF,increase risk of,1,262,
Patient,[Event: alternative therapy],CONSIDERING_TRYING,considering trying,1,35,
Patient,[Event: alternative therapy],USING,using,1,35,
Patient,[Event: ingestion of poisonous substance],PARTICIPATES_IN,participates in,1,64,
Patient,[Event: faintness],EXPERIENCES,experiences,1,80,
Patient,[Event: clinical trial],PARTICIPATES_IN,participates in,1,80,
Patient,[Event: clinical trial],PARTICIPATE_IN,participate in,1,331,
Patient,[Event: airplane flight],PARTICIPATED_IN,participated in,1,86,
Patient,"[Event: vomiting blood, black or dark brown matter]",HAS,has,1,89,
Patient,[Event: heat exhaustion],EXPERIENCES,experiences,1,93,
Patient,[Event: chemical peel],PARTICIPATE_IN,participate in,1,393,
Patients,[Event: prolonged and difficult withdrawal],WITHDRAW,withdraw,1,252,
People,[Event: nonmedical purposes],ABUSE,abuse,1,252,
People who have chronic ear drainage,[Event: standard hearing aid],MAY_NOT_BE_ABLE_TO_WEAR,may not be able to wear,1,365,
Person,[Event: clinical trial],PARTICIPATES_IN,participates in,1,93,
Person,[Event: difficulty walking],HAS,has,1,201,
Person,[Event: tingling in hands and feet],FEELS,feels,1,201,
Person,[Event: memory loss],EXPERIENCES,experiences,1,201,
Physical therapist,[Event: improve joint stiffness],HELP,help,1,357,
Pinched,Sexually Transmitted Diseases,TREATS,treats,1,145,
Polymyositis,children,OCCURS_IN,occurs in,1,327,
Polymyositis,adults,OCCURS_IN,occurs in,1,327,
Polymyositis,women,IS_COMMON_IN,is common in,1,327,
Pressure rise in the atrium,[Event: increased pressure and congestion in the lungs],RESULTS_IN,results in,1,191,
Psychotic disorders,delusions and hallucinations,CHARACTERIZED_BY,characterized by,1,248,
Regular aerobic exercise,high blood pressure,PROVIDES_PROTECTION_AGAINST,provides protection against,1,186,
Regular aerobic exercise,heart disease,PROVIDES_PROTECTION_AGAINST,provides protection against,1,186,
Regular aerobic exercise,type 2 diabetes,PROVIDES_PROTECTION_AGAINST,provides protection against,1,186,
Regular aerobic exercise,osteoporosis,PROVIDES_PROTECTION_AGAINST,provides protection against,1,186,
Regular exercise,[Event: improve your strength and endurance],HELPS_YOU_CONDITION_YOUR_HEART_AND_LUNGS,helps you condition your heart and lungs,1,186,
Renal dysplasia,a condition,IS,is,1,126,
Retinol,severe acne,TREATS,treats,1,393,
Retinol,age spots,PREVENTS,prevents,1,393,
Retinol,[Event: skin preparation],APPLY,apply,1,393,
SARS,coronavirus family,CAUSED_BY,caused by,1,222,
STDs,fertility,AFFECTING,affecting,1,154,
Scabies,scabies mites,CAUSED_BY,caused by,1,48,
Sclerotherapy,varicose veins,TREATS,treats,1,198,
Seizures,severe and persistent Headache,ACCOMPANIED_BY,accompanied by,1,230,
Sexuality,the whole body,AFFECTS,affects,1,140,
Sjögren's syndrome,glands,AFFECTS,affects,1,328,
Sjögren's syndrome,nose,AFFECTS,affects,1,328,
Sjögren's syndrome,throat,AFFECTS,affects,1,328,
Sjögren's syndrome,airways,AFFECTS,affects,1,328,
Sjögren's syndrome,skin,AFFECTS,affects,1,328,
Sjögren's syndrome,stomach,AFFECTS,affects,1,328,
Sjögren's syndrome,pancreas,AFFECTS,affects,1,328,
Sjögren's syndrome,intestines,AFFECTS,affects,1,328,
Sjögren's syndrome,vagina,AFFECTS,affects,1,328,
Sjögren's syndrome,whole body,EXTENDS_TO,extends to,1,328,
Sjögren's syndrome,joints,AFFECTS,affects,1,328,
Sjögren's syndrome,lungs,AFFECTS,affects,1,328,
Sjögren's syndrome,kidneys,AFFECTS,affects,1,328,
Sjögren's syndrome,blood vessels,AFFECTS,affects,1,328,
Sjögren's syndrome,nervous system,AFFECTS,affects,1,328,
Sleep medication,normal sleep,INTERFERE_WITH,interfere with,1,119,
Sleep medication,sleep patterns,DISRUPT,disrupt,1,119,
Sleep medication,breathing,SUPPRESS,suppress,1,119,
Smoking,[Event: lung cancer],CAUSES,causes,1,11,
Smoking,[Event: other cancers],CAUSES,causes,1,11,
Some people,[Event: standard hearing aid],MAY_NOT_BE_ABLE_TO_WEAR,may not be able to wear,1,365,
Spermicides,mild allergic reactions,TREATS,treats,1,143,
Spermicides,itching and redness,CAUSE,cause,1,143,
Statins,HMG CoA reductase,BLOCK,block,1,180,
Stiff neck,severe and persistent Headache,ACCOMPANIED_BY,accompanied by,1,230,
Stretching exercises,exercise program,PART_OF,part of,1,357,
TMD,[Event: affects twice as many women as men],OCCURS_IN,occurs in,1,360,
Temporomandibular Disorder,jaw muscles,AFFECTS,affects,1,360,
Temporomandibular Disorder,temporomandibular joints,AFFECTS,affects,1,360,
Temporomandibular joint,[Event: connecting the Jawbone (mandible) to the Skull (temporal bone)],IS_A_HINGED_JOINT_ON_EACH_SIDE_OF_THE_HEAD_WHERE_THE_LOWER_JAWBONE_(MANDIBLE)_CONNECTS_WITH_THE_TEMPORAL_BONE_OF_THE_SKULL.,is a hinged joint on each side of the head where the lower jawbone (mandible) connects with the temporal bone of the skull.,1,360,
Thallium,exercise stress testing,USED_IN,used in,1,179,
"The main symptom of diaper rash is red, spotty, sore, moist skin",[Event: painful and can range from mild to severe],CHARACTERIZED_BY,characterized by,1,108,
Tooth DEAY,gingivitis,CAUSES,causes,1,88,
Tooth DEAY,pulp in your tooth may be inflamed,CAUSES,causes,1,88,
Torn Knee Cartilage,severe twist of or forceful blow to the knee,CAUSED_BY,caused by,1,350,
Torn Knee Ligament,"sudden strain or twist of the knee, or a blow to the knee",CAUSED_BY,caused by,1,350,
Tubal cannulation,blocked fallopian tube,TREATS,treats,1,155,
Upper eyelid surgery,drooping eyelids,CAN_IMPROVE_THE_APPEARANCE_OF,can improve the appearance of,1,391,
"Vigorous exercise and hot, humid weather",[Event: body's supply of fluid],USE_UP,use up,1,18,
Viral infections,symptoms,CAUSE,cause,1,331,
Viruses,infection,CAUSE,cause,1,331,
Viruses,[Event: host cells],INVADE,invade,1,331,
Vitamin B12 deficiency anemia,palpitations,TREATS,treats,1,201,
Vitamin B12 deficiency anemia,spinal cord,AFFECTS,affects,1,201,
Vitamin D,calcium,HELPS_THE_BODY_ABSORB_AND_USE,helps the body absorb and use,1,355,
Vitamin D,"oily fish such as salmon, vitamin D-fortified milk, and eggs",IS_FOUND_IN,is found in,1,355,
Vitamins,divided,ARE,are,1,2,
Water,body,HELPS,helps,1,18,
Water,body temperature,REGULATE,regulate,1,18,
Water,waste,ELIMINATE,eliminate,1,18,
Water-soluble vitamins,in water,DISSOLVE,dissolve,1,2,
"Weakness, numbness, or paralysis",severe and persistent Headache,ACCOMPANIED_BY,accompanied by,1,230,
Wilson's disease,developing esophageal varices,INCREASES_RISK_OF,increases risk of,1,259,
X-ray,vesicoureteral reflux,CHECK,check,1,125,
X-ray pictures,[Event: the arteries],ARE_TAKEN_OF,are taken of,1,43,
X-rays,MRI,DOES_NOT_PROVIDE_INFORMATION_FOR,does not provide information for,1,44,
X-rays,tooth abscess,MAY_RULE_OUT,may rule out,1,217,
You,[Event: 911 or your local emergency number],CALL,call,1,230,
You,"[Event: if your headache is severe and persistent, if it occurs after a blow to the head, or if it is accompanied by any of the following symptoms]",GO_DIRECTLY_TO_THE_NEAREST_HOSPITAL_EMERGENCY_DEPARTMENT,go directly to the nearest hospital emergency department,1,230,
You probably have a serious abdominal condition,[Event: PERITONITIS or INTESTINAL OBSTRUCTION],HAVE,have,1,89,
Your body,[Event: small amounts of water-soluble vitamins],STORES,stores,1,2,
a baby's first breath,[Event: lungs to expand],CAUSES,causes,1,106,
abdominal surgery,[Event: ileus],RESULT_IN,result in,1,262,
agitation,depression,IS_A_SYMPTOM_OF,is a symptom of,1,241,
anemia,[Event: If the body loses more iron than it absorbs],DEVELOPS,develops,1,200,
antibiotics,Tularemia,TREATS,treats,1,13,
antibiotics,infections,TO_TREAT_INFECTIONS,to treat infections,1,277,
antibiotics,epididymitis,TREATS,treats,1,289,
antibiotics,infection,TREATS,treats,1,352,
antibiotics,cellulitis,TREATS,treats,1,385,
antibodies,breast cancer cells,BLOCK_THE_GROWTH_FACTOR_RECEPTORS_ON_BREAST_CANCER_CELLS,block the growth factor receptors on breast cancer cells,1,303,
anticoagulant drugs,stroke in people with abnormal heart rhythms,CAN_HELP_REDUCE_THE_RISK_OF,can help reduce the risk of,1,227,
anticoagulants,tissue valves,NOT_NEEDED_FOR,not needed for,1,192,
antihistamine,itching,PRESCRIBED_FOR,prescribed for,1,130,
antiviral medication,pain,RELIEVES,relieves,1,236,
anxiety,depression,MAY_BE,may be,1,78,
appendicitis,abdominal pain,HAS_SYMPTOM,has symptom,1,266,
appendicitis,fever,HAS_SYMPTOM,has symptom,1,266,
appendicitis,nausea,HAS_SYMPTOM,has symptom,1,266,
appendicitis,vomiting,HAS_SYMPTOM,has symptom,1,266,
appendicitis,loss of appetite,HAS_SYMPTOM,has symptom,1,266,
atherosclerosis,[Event: blocked coronary artery],RESULTS_IN,results in,1,181,
atherosclerosis,cerebral thrombosis,RESULT_OF,result of,1,224,
birth-control pills,osteoporosis,MAY_RECOMMEND_TO_TREAT,may recommend to treat,1,354,
bleeding after an injury,the brain,CAN_OCCUR_INSIDE,can occur inside,1,204,
bleeding,range,CAN,can,1,165,
bleeding,permanent brain damage,CAN_CAUSE,can cause,1,228,
bleeding,death,CAN_CAUSE,can cause,1,228,
blood and urine tests,characteristic symptoms of lupus,WILL_ORDER,will order,1,326,
blood tests,condition,MONITOR,monitor,1,281,
blood transfusion,low blood level,TREATS,treats,1,202,
brain injury during delivery,[Event: cerebral palsy],CAUSES,causes,1,117,
brain injury during fetal development,[Event: cerebral palsy],RESULTS_IN,results in,1,117,
breast lumps,infections,CAN_RESULT_FROM,can result from,1,300,
breast lumps,noncancerous fluid-filled sacs,CAN_RESULT_FROM,can result from,1,300,
breastfeeding,babies,TREATS,treats,1,172,
cerebral palsy,faulty development of or damage to the areas of the brain that control muscle movement,CAUSED_BY,caused by,1,117,
cerebral palsy,"weakness of the arms and legs accompanied by stiffness (called spasticity) or floppiness and, sometimes, unusual body postures",RESULTING_IN,resulting in,1,117,
cervical osteoarthritis,disorder of the nerves and bones in the neck,MAY_HAVE,may have,1,81,
chemotherapy,cancer cells,TREATS,treats,1,278,
chemotherapy,seminoma,TREATS,treats,1,288,
childbirth,complications,HAS,has,1,68,
choking,involuntary grasp,CAUSES,causes,1,59,
chronic hepatitis,doctor,DIAGNOSE,diagnose,1,274,
colectomy,diverticulitis,TREATS,treats,1,268,
colectomy,ulcerative colitis,TREATS,treats,1,268,
colectomy,cancer of the large intestine (colon),TREATS,treats,1,268,
contractions,pushing,DOUBLE_THE_EFFECT_OF,double the effect of,1,169,
coronary artery bypass surgery,arrhythmias resulting from heart disease,USED_TO_TREAT,used to treat,1,188,
corticosteroid medication,inflammation,REDUCES,reduces,1,236,
corticosteroids,myasthenia gravis,PRESCRIBES,prescribes,1,238,
corticosteroids,scleritis,TREATS,treats,1,373,
crawling,child,GIVES_OPPORTUNITY_TO_EXPLORE,gives opportunity to explore,1,105,
delusions of seeing the person,the period immediately following a death,ARE_COMMON_DURING,are common during,1,176,
depression,ill or disabled,AT_HIGH_RISK_FOR,at high risk for,1,71,
depression,suicide,HIGH_RISK_OF,high risk of,1,71,
depression,doctor,TREATED_BY,treated by,1,83,
depression,episodes,OCCURS_IN,occurs in,1,241,
desensitization,posttraumatic stress disorder,PRESCRIBES,prescribes,1,245,
diagnosis,[Event: cancer is highly curable],OCCURS_WHEN,occurs when,1,310,
digestive system,digestive tract,INCLUDES,includes,1,40,
digestive system,liver,INCLUDES,includes,1,40,
digestive system,pancreas,INCLUDES,includes,1,40,
disease,damage to the kidneys,INCLUDES,includes,1,335,
doctor,[Event: internal organs],EXAMINES,examines,1,44,
doctor,procedure,TELL,tell,1,45,
doctor,finger,INSERTS,inserts,1,55,
doctor,abdomen,PRESSES,presses,1,55,
doctor,prostate,FEELS,feels,1,55,
doctor,[Event: digital rectal examination],PERFORMS,performs,1,55,
doctor,[Event: stool sample collection],TAKES,takes,1,55,
doctor,[Event: blood test],USES,uses,1,55,
doctor,[Event: blood test],RECOMMEND,recommend,1,208,
doctor,[Event: blood test],ORDERS,orders,1,348,
doctor,[Event: risk of heart disease assessment],EVALUATES,evaluates,1,56,
doctor,[Event: CA-125 test],USES,uses,1,58,
doctor,[Event: instructions over the phone],GIVES,gives,1,68,
doctor,[Event: treatment],PRESCRIBES,prescribes,1,78,
doctor,[Event: stop taking the laxatives and add high-fiber foods],ADVISES,advises,1,91,
doctor,[Event: see chart FEVER IN YOUNG CHILDREN],TALK_TO,talk to,1,99,
doctor,disorders,TREATS,treats,1,103,
doctor,[Event: child's visit],EXAMINES,examines,1,103,
doctor,[Event: blood tests],ORDERS,orders,1,107,
doctor,[Event: blood tests],ORDER,order,1,125,
doctor,[Event: blood tests],ORDERS,orders,1,148,
doctor,[Event: blood tests],MAY_ORDER,may order,1,265,
doctor,[Event: blood tests],WILL_ORDER,will order,1,320,
doctor,[Event: blood tests],PERFORMS,performs,1,337,
doctor,[Event: ultrasound scan],RECOMMENDS,recommends,1,107,
doctor,[Event: ultrasound scan],ORDERS,orders,1,290,
doctor,[Event: ultrasound scan],MAY_RECOMMEND,may recommend,1,320,
doctor,[Event: X-rays],ORDERS,orders,1,107,
doctor,[Event: blood tests for Rh incompatibility],ORDERS,orders,1,107,
doctor,echocardiogram,ORDER,order,1,111,
doctor,electrocardiogram,ORDER,order,1,111,
doctor,[Event: further evaluation and treatment],REFER,refer,1,111,
doctor,[Event: diagnosis],"WILL_DIAGNOSE_THE_PROBLEM_WITH_A_CHEST_X-RAY,_AN_ULTRASOUND_EXAMINATION_OF_THE_HEART_(ECHOCARDIOGRAM;_SEE_PAGE_561),_OR_A_RECORDING_OF_THE_ELECTRICAL_ACTIVITY_OF_THE_HEART_(ELECTROCARDIOGRAM;_SEE_PAGE_559)","will diagnose the problem with a chest X-ray, an ultrasound examination of the heart (echocardiogram; see page 561), or a recording of the electrical activity of the heart (electrocardiogram; see page 559)",1,112,
doctor,blood tests,ORDER,order,1,118,
doctor,blood tests,ORDER,order,1,128,
doctor,blood tests,ORDER,order,1,275,
doctor,[Event: check for swelling of the liver],FEEL,feel,1,118,
